# word	phonetic_uk	phonetic_us	part_of_speech	meaning
# 001-050: people, home, and everyday objects
person	/ˈpɜːsən/	/ˈpɜːrsən/	n.	人
family	/ˈfæməli/	/ˈfæməli/	n.	家庭
parent	/ˈpeərənt/	/ˈperənt/	n.	父亲或母亲
father	/ˈfɑːðə/	/ˈfɑːðər/	n.	父亲
mother	/ˈmʌðə/	/ˈmʌðər/	n.	母亲
brother	/ˈbrʌðə/	/ˈbrʌðər/	n.	兄弟
sister	/ˈsɪstə/	/ˈsɪstər/	n.	姐妹
child	/tʃaɪld/	/tʃaɪld/	n.	孩子
friend	/frend/	/frend/	n.	朋友
student	/ˈstjuːdənt/	/ˈstuːdənt/	n.	学生
teacher	/ˈtiːtʃə/	/ˈtiːtʃər/	n.	教师
doctor	/ˈdɒktə/	/ˈdɑːktər/	n.	医生
name	/neɪm/	/neɪm/	n.	姓名
home	/həʊm/	/hoʊm/	n.	家
house	/haʊs/	/haʊs/	n.	房屋
room	/ruːm/	/ruːm/	n.	房间
door	/dɔː/	/dɔːr/	n.	门
window	/ˈwɪndəʊ/	/ˈwɪndoʊ/	n.	窗户
table	/ˈteɪbəl/	/ˈteɪbəl/	n.	桌子
chair	/tʃeə/	/tʃer/	n.	椅子
bed	/bed/	/bed/	n.	床
book	/bʊk/	/bʊk/	n.	书
pen	/pen/	/pen/	n.	钢笔
pencil	/ˈpensəl/	/ˈpensəl/	n.	铅笔
paper	/ˈpeɪpə/	/ˈpeɪpər/	n.	纸
bag	/bæɡ/	/bæɡ/	n.	包
box	/bɒks/	/bɑːks/	n.	盒子
phone	/fəʊn/	/foʊn/	n.	电话
computer	/kəmˈpjuːtə/	/kəmˈpjuːtər/	n.	计算机
clock	/klɒk/	/klɑːk/	n.	时钟
picture	/ˈpɪktʃə/	/ˈpɪktʃər/	n.	图片
map	/mæp/	/mæp/	n.	地图
key	/kiː/	/kiː/	n.	钥匙
cup	/kʌp/	/kʌp/	n.	杯子
bottle	/ˈbɒtəl/	/ˈbɑːtəl/	n.	瓶子
plate	/pleɪt/	/pleɪt/	n.	盘子
spoon	/spuːn/	/spuːn/	n.	勺子
knife	/naɪf/	/naɪf/	n.	刀
clothes	/kləʊðz/	/kloʊðz/	n.	衣服
shirt	/ʃɜːt/	/ʃɜːrt/	n.	衬衫
coat	/kəʊt/	/koʊt/	n.	外套
shoe	/ʃuː/	/ʃuː/	n.	鞋
hat	/hæt/	/hæt/	n.	帽子
money	/ˈmʌni/	/ˈmʌni/	n.	钱
shop	/ʃɒp/	/ʃɑːp/	n.	商店
market	/ˈmɑːkɪt/	/ˈmɑːrkɪt/	n.	市场
street	/striːt/	/striːt/	n.	街道
city	/ˈsɪti/	/ˈsɪti/	n.	城市
country	/ˈkʌntri/	/ˈkʌntri/	n.	国家
world	/wɜːld/	/wɜːrld/	n.	世界

# 051-100: food, nature, and animals
food	/fuːd/	/fuːd/	n.	食物
water	/ˈwɔːtə/	/ˈwɔːtər/	n.	水
bread	/bred/	/bred/	n.	面包
rice	/raɪs/	/raɪs/	n.	米饭
milk	/mɪlk/	/mɪlk/	n.	牛奶
egg	/eɡ/	/eɡ/	n.	鸡蛋
meat	/miːt/	/miːt/	n.	肉
fish	/fɪʃ/	/fɪʃ/	n.	鱼
fruit	/fruːt/	/fruːt/	n.	水果
apple	/ˈæpəl/	/ˈæpəl/	n.	苹果
banana	/bəˈnɑːnə/	/bəˈnænə/	n.	香蕉
orange	/ˈɒrɪndʒ/	/ˈɔːrɪndʒ/	n.	橙子
vegetable	/ˈvedʒtəbəl/	/ˈvedʒtəbəl/	n.	蔬菜
potato	/pəˈteɪtəʊ/	/pəˈteɪtoʊ/	n.	土豆
tomato	/təˈmɑːtəʊ/	/təˈmeɪtoʊ/	n.	番茄
sugar	/ˈʃʊɡə/	/ˈʃʊɡər/	n.	糖
salt	/sɔːlt/	/sɔːlt/	n.	盐
tea	/tiː/	/tiː/	n.	茶
coffee	/ˈkɒfi/	/ˈkɔːfi/	n.	咖啡
breakfast	/ˈbrekfəst/	/ˈbrekfəst/	n.	早餐
lunch	/lʌntʃ/	/lʌntʃ/	n.	午餐
dinner	/ˈdɪnə/	/ˈdɪnər/	n.	晚餐
sun	/sʌn/	/sʌn/	n.	太阳
moon	/muːn/	/muːn/	n.	月亮
star	/stɑː/	/stɑːr/	n.	星星
sky	/skaɪ/	/skaɪ/	n.	天空
cloud	/klaʊd/	/klaʊd/	n.	云
rain	/reɪn/	/reɪn/	n.	雨
snow	/snəʊ/	/snoʊ/	n.	雪
wind	/wɪnd/	/wɪnd/	n.	风
tree	/triː/	/triː/	n.	树
flower	/ˈflaʊə/	/ˈflaʊər/	n.	花
grass	/ɡrɑːs/	/ɡræs/	n.	草
river	/ˈrɪvə/	/ˈrɪvər/	n.	河流
sea	/siː/	/siː/	n.	海
mountain	/ˈmaʊntɪn/	/ˈmaʊntən/	n.	山
animal	/ˈænɪməl/	/ˈænɪməl/	n.	动物
dog	/dɒɡ/	/dɔːɡ/	n.	狗
cat	/kæt/	/kæt/	n.	猫
bird	/bɜːd/	/bɜːrd/	n.	鸟
horse	/hɔːs/	/hɔːrs/	n.	马
cow	/kaʊ/	/kaʊ/	n.	牛
sheep	/ʃiːp/	/ʃiːp/	n.	羊
chicken	/ˈtʃɪkɪn/	/ˈtʃɪkɪn/	n.	鸡
duck	/dʌk/	/dʌk/	n.	鸭
rabbit	/ˈræbɪt/	/ˈræbɪt/	n.	兔子
mouse	/maʊs/	/maʊs/	n.	老鼠
insect	/ˈɪnsekt/	/ˈɪnsekt/	n.	昆虫
farm	/fɑːm/	/fɑːrm/	n.	农场
garden	/ˈɡɑːdən/	/ˈɡɑːrdən/	n.	花园

# 101-150: time, school, travel, and places
time	/taɪm/	/taɪm/	n.	时间
day	/deɪ/	/deɪ/	n.	一天
week	/wiːk/	/wiːk/	n.	星期
month	/mʌnθ/	/mʌnθ/	n.	月份
year	/jɪə/	/jɪr/	n.	年
today	/təˈdeɪ/	/təˈdeɪ/	n.	今天
tomorrow	/təˈmɒrəʊ/	/təˈmɑːroʊ/	n.	明天
yesterday	/ˈjestədeɪ/	/ˈjestərdeɪ/	n.	昨天
morning	/ˈmɔːnɪŋ/	/ˈmɔːrnɪŋ/	n.	早晨
afternoon	/ˌɑːftəˈnuːn/	/ˌæftərˈnuːn/	n.	下午
evening	/ˈiːvnɪŋ/	/ˈiːvnɪŋ/	n.	晚上
night	/naɪt/	/naɪt/	n.	夜晚
hour	/ˈaʊə/	/ˈaʊər/	n.	小时
minute	/ˈmɪnɪt/	/ˈmɪnɪt/	n.	分钟
school	/skuːl/	/skuːl/	n.	学校
class	/klɑːs/	/klæs/	n.	班级或课堂
lesson	/ˈlesən/	/ˈlesən/	n.	课程
subject	/ˈsʌbdʒɪkt/	/ˈsʌbdʒɪkt/	n.	学科
question	/ˈkwestʃən/	/ˈkwestʃən/	n.	问题
answer	/ˈɑːnsə/	/ˈænsər/	n.	答案
word	/wɜːd/	/wɜːrd/	n.	单词
sentence	/ˈsentəns/	/ˈsentəns/	n.	句子
language	/ˈlæŋɡwɪdʒ/	/ˈlæŋɡwɪdʒ/	n.	语言
story	/ˈstɔːri/	/ˈstɔːri/	n.	故事
test	/test/	/test/	n.	测试
work	/wɜːk/	/wɜːrk/	n.	工作
office	/ˈɒfɪs/	/ˈɔːfɪs/	n.	办公室
hospital	/ˈhɒspɪtəl/	/ˈhɑːspɪtəl/	n.	医院
station	/ˈsteɪʃən/	/ˈsteɪʃən/	n.	车站
airport	/ˈeəpɔːt/	/ˈerpɔːrt/	n.	机场
hotel	/həʊˈtel/	/hoʊˈtel/	n.	酒店
restaurant	/ˈrestrɒnt/	/ˈrestərɑːnt/	n.	餐馆
library	/ˈlaɪbrəri/	/ˈlaɪbreri/	n.	图书馆
park	/pɑːk/	/pɑːrk/	n.	公园
bank	/bæŋk/	/bæŋk/	n.	银行
road	/rəʊd/	/roʊd/	n.	道路
car	/kɑː/	/kɑːr/	n.	汽车
bus	/bʌs/	/bʌs/	n.	公共汽车
train	/treɪn/	/treɪn/	n.	火车
plane	/pleɪn/	/pleɪn/	n.	飞机
bicycle	/ˈbaɪsɪkəl/	/ˈbaɪsɪkəl/	n.	自行车
boat	/bəʊt/	/boʊt/	n.	船
ticket	/ˈtɪkɪt/	/ˈtɪkɪt/	n.	票
trip	/trɪp/	/trɪp/	n.	旅行
journey	/ˈdʒɜːni/	/ˈdʒɜːrni/	n.	旅程
place	/pleɪs/	/pleɪs/	n.	地方
way	/weɪ/	/weɪ/	n.	道路或方式
left	/left/	/left/	adj.	左边的
right	/raɪt/	/raɪt/	adj.	右边的
